longitude,latitude,FIRE_DATE,FIRE_CAUSE,FIRE_SIZE_HECTARES,FIRE_YEAR
-123.44822324295332,52.009888560774115,2018-08-02,Lightning,4.6,2018
-125.73043769939422,52.39503114448706,2017-07-07,Lightning,7366.7,2017
-121.68176359375768,51.65615155531317,2018-08-01,Lightning,1.1,2018
-121.29059884626933,51.2649739849076,2018-08-01,Lightning,646.3,2018
-120.85682244607297,51.27438885214243,2018-08-01,Lightning,243.8,2018
-120.46030644300706,52.114080076106596,2018-07-31,Lightning,51.1,2018
-120.42169964948306,52.08109784732447,2018-07-31,Lightning,597.0,2018
-121.10595931157918,51.68043994540989,2018-07-31,Lightning,15.7,2018
-122.48093671138011,52.9156834131041,2017-10-30,Person,8.9,2018
-123.54888220161446,52.863977057516635,2018-06-20,Lightning,42.9,2018
-121.65358397722284,52.92492162647695,2018-06-19,Lightning,9.4,2018
-124.27936301961266,53.42290280647491,2018-06-20,Lightning,143.9,2018
-120.69286296852978,52.155808671399996,2018-08-11,Lightning,367.2,2018
-120.57424618410627,51.62966727107556,2018-10-16,Person,9.7,2018
-123.16015168150689,51.99894880572809,2018-04-24,Person,0.8,2018
-123.18377241445782,52.03207422763698,2018-04-25,Person,2.7,2018
-122.71997830867811,52.72727503958064,2018-07-19,Lightning,5.0,2018
-121.64963093120923,52.81623266340405,2018-07-22,Lightning,79.7,2018
-125.10990879818138,52.93159119039963,2018-08-01,Lightning,12320.6,2018
-121.91555932591113,53.180638360711335,2018-07-31,Lightning,13.6,2018
-123.78816286968197,53.14307036035663,2018-08-01,Lightning,13433.1,2018
-122.77807204964697,52.800794217446914,2018-08-07,Lightning,4636.0,2018
-123.49932634051748,53.144931226823964,2018-08-08,Lightning,8277.5,2018
-121.75658784256848,53.18613451875193,2018-07-31,Lightning,123.4,2018
-124.26747273244924,52.34140055134524,2018-08-01,Lightning,4.9,2018
-125.52480750803257,51.987400470171266,2018-08-14,Lightning,1136.2,2018
-123.57269103119685,52.18062750094043,2018-08-14,Lightning,113.6,2018
-123.35383774563624,52.04191179392131,2018-08-11,Lightning,20.4,2018
-124.87468600851666,51.3201629203667,2018-08-15,Lightning,284.9,2018
-121.7442414016282,53.197025440944074,2018-07-31,Lightning,162.0,2018
-124.42123951722198,52.76252647225405,2018-08-12,Lightning,10541.9,2018
-124.42123951722198,52.76252647225405,2018-08-12,Lightning,10541.9,2018
-123.17527182897267,53.28695602788194,2018-07-30,Lightning,3.8,2018
-123.128311010616,53.248980838217136,2018-10-12,Person,14.5,2018
-122.11100402932283,51.79643588400754,2018-06-20,Lightning,1.2,2018
-121.86247250452415,51.927890140677036,2018-07-17,Lightning,1.2,2018
-122.42567125958146,51.78334914869024,2018-07-30,Lightning,192.5,2018
-122.42497604870141,51.83678570807716,2018-08-01,Lightning,6.7,2018
-123.01450032288282,52.35682961953541,2018-08-01,Lightning,8.4,2018
-121.74934922528246,52.05624611537345,2018-08-02,Lightning,7.0,2018
-122.20873583698781,51.87967571522101,2018-08-02,Lightning,372.4,2018
-123.07058801763444,51.64227800479011,2018-09-10,Person,2.0,2018
-121.05011829674532,52.60703158115935,2018-07-17,Lightning,25.1,2018
-120.85541887850815,52.26189748067729,2018-07-07,Lightning,1.9,2018
-121.93234173367172,52.652434460229024,2018-07-30,Lightning,14.7,2018
-120.46459512742607,52.889734668506854,2018-07-30,Lightning,2.0,2018
-120.4742750638133,52.512272577936606,2017-07-20,Lightning,891.8,2017
-121.11099353439768,52.40803831996746,2018-07-31,Lightning,1141.5,2018
-120.945964839039,52.47606129652989,2018-07-31,Lightning,7.2,2018
-120.83881515970252,52.49261193394264,2018-07-19,Lightning,540.7,2018
-120.75128023829859,52.4940552682151,2018-07-22,Lightning,255.1,2018
-120.62501201217731,52.54501421018487,2018-07-22,Lightning,204.9,2018
-120.32182968398651,52.599287455683005,2018-07-31,Lightning,0.8,2018
-120.33640967239262,52.63347540000445,2018-07-31,Lightning,4.7,2018
-120.29144850479696,52.615642558182984,2018-07-31,Lightning,4.2,2018
-121.21059654692306,51.10876418488739,2017-07-06,Person,192016.5,2017
-122.50178438664047,52.56334746892222,2017-05-07,Person,5.5,2017
-123.02310182709417,53.16473524956325,2017-05-31,Lightning,132.2,2017
-124.01679418783402,53.32217603289407,2017-06-11,Lightning,0.4,2017
-122.28793951546433,52.805104461483694,2017-07-07,Lightning,595.2,2017
-122.47679614668601,52.67163709819864,2017-07-07,Lightning,127.2,2017
-122.54794652150426,52.45781353789921,2017-07-07,Lightning,5648.3,2017
-121.87322322848001,52.93904371812551,2017-07-07,Lightning,97.3,2017
